pathway,n_genes,corr,abs_corr,sign
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,2,,,0
REACTOME_APOPTOTIC_EXECUTION_PHASE,12,0.8873648643493652,0.8873648643493652,1
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,1,,,0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,16,0.8148614764213562,0.8148614764213562,1
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,0,,,0
REACTOME_ARACHIDONIC_ACID_METABOLISM,10,0.8730321526527405,0.8730321526527405,1
REACTOME_ARMS_MEDIATED_ACTIVATION,1,,,0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,1,,,0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,60,0.8250553011894226,0.8250553011894226,1
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,2,,,0
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,7,,,0
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,2,,,0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,11,0.8928028345108032,0.8928028345108032,1
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,5,,,0
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,6,,,0
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,8,,,0
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,7,,,0
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,8,,,0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,4,,,0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,4,,,0
REACTOME_ATTACHMENT_AND_ENTRY,1,,,0
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,3,,,0
REACTOME_ATTENUATION_PHASE,14,0.9085967540740967,0.9085967540740967,1
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,7,,,0
REACTOME_AURKA_ACTIVATION_BY_TPX2,23,0.8577901721000671,0.8577901721000671,1
REACTOME_AUTOPHAGY,30,0.7597572803497314,0.7597572803497314,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,6,,,0
REACTOME_BASE_EXCISION_REPAIR,21,0.8435764908790588,0.8435764908790588,1
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,8,,,0
REACTOME_BASIGIN_INTERACTIONS,4,,,0
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,9,,,0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,30,0.8585715889930725,0.8585715889930725,1
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,1,,,0
REACTOME_BETA_DEFENSINS,2,,,0
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,1,,,0
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA,1,,,0
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,3,,,0
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,4,,,0
